n_friend_index,n_friend_name,n
1149,18nh_01832505,4
1149,18nh_01832505,5
1150,18nh_01835009,4
1150,18nh_01835009,5
1152,18nh_01838999,4
1152,18nh_01838999,5
1153,18nh_01848336,4
1153,18nh_01848336,5
1154,18nh_01857404,4
1154,18nh_01857404,5
1155,18nh_01862831,4
1155,18nh_01862831,5
1160,18nh_01893924,4
1160,18nh_01893924,5
1164,18nh_01929706,4
1164,18nh_01929706,5
1165,18nh_01929707,4
1165,18nh_01929707,5
1166,18nh_01946469,4
1166,18nh_01946469,5
1167,18nh_01947172,4
1167,18nh_01947172,5
1174,18nh_01974115,4
1174,18nh_01974115,5
1176,18nh_01995699,4
1176,18nh_01995699,5
1178,18nh_01999863,4
1178,18nh_01999863,5
1179,18nh_02013250,4
1179,18nh_02013250,5
1182,18nh_02030682,4
1182,18nh_02030682,5
1194,18nh_02060927,4
1194,18nh_02060927,5
1202,18nh_02119205,4
1202,18nh_02119205,5
1203,18nh_02123309,4
1203,18nh_02123309,5
1204,18nh_02130615,4
1204,18nh_02130615,5
1205,18nh_02131031,4
1205,18nh_02131031,5
1209,18nh_02153872,4
1209,18nh_02153872,5
1210,18nh_02158360,4
1210,18nh_02158360,5
1212,18nh_02163475,4
1212,18nh_02163475,5
1213,18nh_02165775,4
1213,18nh_02165775,5
1217,18nh_02183184,4
1217,18nh_02183184,5
1218,18nh_02194153,4
1218,18nh_02194153,5
1227,18nh_02267087,4
1227,18nh_02267087,5
1229,18nh_02281924,4
1229,18nh_02281924,5
1231,18nh_02294621,4
1231,18nh_02294621,5
1232,18nh_02308971,4
1232,18nh_02308971,5
1237,18nh_02338074,4
1237,18nh_02338074,5
1240,18nh_02380596,4
1240,18nh_02380596,5
1244,18nh_02418076,4
1244,18nh_02418076,5
1247,18nh_02434779,4
1247,18nh_02434779,5
1253,18nh_02499727,4
1253,18nh_02499727,5
1255,18nh_02505230,4
1255,18nh_02505230,5
1257,18nh_02515858,4
1257,18nh_02515858,5
1261,18nh_02545294,4
1261,18nh_02545294,5
1264,18nh_02559205,4
1264,18nh_02559205,5
1272,18nh_02589995,4
1272,18nh_02589995,5
1276,18nh_02623507,4
1276,18nh_02623507,5
1278,18nh_02670105,4
1278,18nh_02670105,5
1282,18nh_02672037,4
1282,18nh_02672037,5
1283,18nh_02676874,4
1283,18nh_02676874,5
1287,18nh_02723890,4
1287,18nh_02723890,5
1288,18nh_02723891,4
1288,18nh_02723891,5
1289,18nh_02723892,4
1289,18nh_02723892,5
1290,18nh_02723893,4
1290,18nh_02723893,5
1296,18nh_02797097,4
1296,18nh_02797097,5
1297,18nh_02803202,4
1297,18nh_02803202,5
1299,18nh_02831749,4
1299,18nh_02831749,5
1301,18nh_02846596,4
1301,18nh_02846596,5
